session_id,run_log_file,run_started_at_utc,run_completed_at_utc,configuration_id,run_id,ablation_mode,p,gamma,delay_s,packet_loss_rate,pose_rmse_m,map_alignment_rmse_m,fusion_time_s,theta_mean,theta_std
springer_revision_full_20260530,run_logs/20260530T210622607Z_baseline-graph-slam_p1_g0_d0p5_loss0p1_run01.csv,2026-05-30T21:06:22.607Z,2026-05-30T21:06:22.608Z,baseline-graph-slam_p1_g0_d0p5_loss0p1,1,baseline_graph_slam,1.000000,0.000000,0.500000,0.100000,0.643194,0.449578,1.167574,0.688208,0.060147
springer_revision_full_20260530,run_logs/20260530T210622608Z_baseline-graph-slam_p1_g0_d0p5_loss0p1_run02.csv,2026-05-30T21:06:22.608Z,2026-05-30T21:06:22.608Z,baseline-graph-slam_p1_g0_d0p5_loss0p1,2,baseline_graph_slam,1.000000,0.000000,0.500000,0.100000,0.679148,0.433938,1.162598,0.673632,0.058900
springer_revision_full_20260530,run_logs/20260530T210622608Z_baseline-graph-slam_p1_g0_d0p5_loss0p1_run03.csv,2026-05-30T21:06:22.608Z,2026-05-30T21:06:22.609Z,baseline-graph-slam_p1_g0_d0p5_loss0p1,3,baseline_graph_slam,1.000000,0.000000,0.500000,0.100000,0.664570,0.444508,1.138521,0.667693,0.071362
springer_revision_full_20260530,run_logs/20260530T210622609Z_baseline-graph-slam_p1_g0_d0p5_loss0p1_run04.csv,2026-05-30T21:06:22.609Z,2026-05-30T21:06:22.609Z,baseline-graph-slam_p1_g0_d0p5_loss0p1,4,baseline_graph_slam,1.000000,0.000000,0.500000,0.100000,0.614176,0.430224,1.145747,0.657991,0.053153
springer_revision_full_20260530,run_logs/20260530T210622610Z_baseline-graph-slam_p1_g0_d0p5_loss0p1_run05.csv,2026-05-30T21:06:22.610Z,2026-05-30T21:06:22.611Z,baseline-graph-slam_p1_g0_d0p5_loss0p1,5,baseline_graph_slam,1.000000,0.000000,0.500000,0.100000,0.651419,0.446393,1.146056,0.638888,0.053740
springer_revision_full_20260530,run_logs/20260530T210622611Z_baseline-graph-slam_p1_g0_d0p5_loss0p3_run01.csv,2026-05-30T21:06:22.611Z,2026-05-30T21:06:22.611Z,baseline-graph-slam_p1_g0_d0p5_loss0p3,1,baseline_graph_slam,1.000000,0.000000,0.500000,0.300000,0.819414,0.577088,1.378083,0.576496,0.058460
springer_revision_full_20260530,run_logs/20260530T210622612Z_baseline-graph-slam_p1_g0_d0p5_loss0p3_run02.csv,2026-05-30T21:06:22.612Z,2026-05-30T21:06:22.612Z,baseline-graph-slam_p1_g0_d0p5_loss0p3,2,baseline_graph_slam,1.000000,0.000000,0.500000,0.300000,0.832122,0.571298,1.361079,0.562999,0.053548
springer_revision_full_20260530,run_logs/20260530T210622612Z_baseline-graph-slam_p1_g0_d0p5_loss0p3_run03.csv,2026-05-30T21:06:22.612Z,2026-05-30T21:06:22.612Z,baseline-graph-slam_p1_g0_d0p5_loss0p3,3,baseline_graph_slam,1.000000,0.000000,0.500000,0.300000,0.798993,0.558708,1.338260,0.554130,0.051671
springer_revision_full_20260530,run_logs/20260530T210622613Z_baseline-graph-slam_p1_g0_d0p5_loss0p3_run04.csv,2026-05-30T21:06:22.613Z,2026-05-30T21:06:22.613Z,baseline-graph-slam_p1_g0_d0p5_loss0p3,4,baseline_graph_slam,1.000000,0.000000,0.500000,0.300000,0.825306,0.591949,1.358694,0.543623,0.059644
springer_revision_full_20260530,run_logs/20260530T210622613Z_baseline-graph-slam_p1_g0_d0p5_loss0p3_run05.csv,2026-05-30T21:06:22.613Z,2026-05-30T21:06:22.614Z,baseline-graph-slam_p1_g0_d0p5_loss0p3,5,baseline_graph_slam,1.000000,0.000000,0.500000,0.300000,0.808265,0.578151,1.338993,0.540478,0.059199
springer_revision_full_20260530,run_logs/20260530T210622614Z_baseline-graph-slam_p1_g0_d2_loss0p1_run01.csv,2026-05-30T21:06:22.614Z,2026-05-30T21:06:22.615Z,baseline-graph-slam_p1_g0_d2_loss0p1,1,baseline_graph_slam,1.000000,0.000000,2.000000,0.100000,0.826861,0.577576,1.702040,0.566574,0.055272
springer_revision_full_20260530,run_logs/20260530T210622615Z_baseline-graph-slam_p1_g0_d2_loss0p1_run02.csv,2026-05-30T21:06:22.615Z,2026-05-30T21:06:22.615Z,baseline-graph-slam_p1_g0_d2_loss0p1,2,baseline_graph_slam,1.000000,0.000000,2.000000,0.100000,0.807158,0.567986,1.714063,0.546550,0.058209
springer_revision_full_20260530,run_logs/20260530T210622616Z_baseline-graph-slam_p1_g0_d2_loss0p1_run03.csv,2026-05-30T21:06:22.616Z,2026-05-30T21:06:22.616Z,baseline-graph-slam_p1_g0_d2_loss0p1,3,baseline_graph_slam,1.000000,0.000000,2.000000,0.100000,0.829068,0.564912,1.676498,0.559444,0.065698
springer_revision_full_20260530,run_logs/20260530T210622616Z_baseline-graph-slam_p1_g0_d2_loss0p1_run04.csv,2026-05-30T21:06:22.616Z,2026-05-30T21:06:22.616Z,baseline-graph-slam_p1_g0_d2_loss0p1,4,baseline_graph_slam,1.000000,0.000000,2.000000,0.100000,0.849680,0.550152,1.698879,0.534216,0.055661
springer_revision_full_20260530,run_logs/20260530T210622617Z_baseline-graph-slam_p1_g0_d2_loss0p1_run05.csv,2026-05-30T21:06:22.617Z,2026-05-30T21:06:22.617Z,baseline-graph-slam_p1_g0_d2_loss0p1,5,baseline_graph_slam,1.000000,0.000000,2.000000,0.100000,0.829925,0.554801,1.668740,0.513410,0.063081
springer_revision_full_20260530,run_logs/20260530T210622617Z_baseline-graph-slam_p1_g0_d2_loss0p3_run01.csv,2026-05-30T21:06:22.617Z,2026-05-30T21:06:22.617Z,baseline-graph-slam_p1_g0_d2_loss0p3,1,baseline_graph_slam,1.000000,0.000000,2.000000,0.300000,0.989516,0.663352,1.904040,0.456523,0.052186
springer_revision_full_20260530,run_logs/20260530T210622618Z_baseline-graph-slam_p1_g0_d2_loss0p3_run02.csv,2026-05-30T21:06:22.618Z,2026-05-30T21:06:22.618Z,baseline-graph-slam_p1_g0_d2_loss0p3,2,baseline_graph_slam,1.000000,0.000000,2.000000,0.300000,0.966527,0.686409,1.856284,0.445181,0.053662
springer_revision_full_20260530,run_logs/20260530T210622618Z_baseline-graph-slam_p1_g0_d2_loss0p3_run03.csv,2026-05-30T21:06:22.618Z,2026-05-30T21:06:22.618Z,baseline-graph-slam_p1_g0_d2_loss0p3,3,baseline_graph_slam,1.000000,0.000000,2.000000,0.300000,0.991310,0.690583,1.888774,0.441218,0.057035
springer_revision_full_20260530,run_logs/20260530T210622618Z_baseline-graph-slam_p1_g0_d2_loss0p3_run04.csv,2026-05-30T21:06:22.618Z,2026-05-30T21:06:22.619Z,baseline-graph-slam_p1_g0_d2_loss0p3,4,baseline_graph_slam,1.000000,0.000000,2.000000,0.300000,0.986232,0.695191,1.870261,0.432764,0.063024
springer_revision_full_20260530,run_logs/20260530T210622619Z_baseline-graph-slam_p1_g0_d2_loss0p3_run05.csv,2026-05-30T21:06:22.619Z,2026-05-30T21:06:22.619Z,baseline-graph-slam_p1_g0_d2_loss0p3,5,baseline_graph_slam,1.000000,0.000000,2.000000,0.300000,1.002605,0.696779,1.889635,0.415672,0.061897
