session_id,configuration_id,ablation_mode,p,gamma,delay_s,packet_loss_rate,metric,mean,std,ci95_low,ci95_high,n
springer_revision_full_20260530,baseline-graph-slam_p1_g0_d0p5_loss0p1,baseline_graph_slam,1.000000,0.000000,0.500000,0.100000,pose_rmse_m,0.650502,0.024456,0.629065,0.671938,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0_d0p5_loss0p1,baseline_graph_slam,1.000000,0.000000,0.500000,0.100000,map_alignment_rmse_m,0.440928,0.008381,0.433582,0.448274,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0_d0p5_loss0p1,baseline_graph_slam,1.000000,0.000000,0.500000,0.100000,fusion_time_s,1.152099,0.012359,1.141266,1.162932,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0_d0p5_loss0p1,baseline_graph_slam,1.000000,0.000000,0.500000,0.100000,theta_mean,0.665282,0.018377,0.649174,0.681391,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0_d0p5_loss0p1,baseline_graph_slam,1.000000,0.000000,0.500000,0.100000,theta_std,0.059460,0.007330,0.053035,0.065886,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0_d0p5_loss0p3,baseline_graph_slam,1.000000,0.000000,0.500000,0.300000,pose_rmse_m,0.816820,0.013266,0.805192,0.828448,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0_d0p5_loss0p3,baseline_graph_slam,1.000000,0.000000,0.500000,0.300000,map_alignment_rmse_m,0.575439,0.012039,0.564886,0.585991,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0_d0p5_loss0p3,baseline_graph_slam,1.000000,0.000000,0.500000,0.300000,fusion_time_s,1.355022,0.016732,1.340355,1.369688,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0_d0p5_loss0p3,baseline_graph_slam,1.000000,0.000000,0.500000,0.300000,theta_mean,0.555545,0.014711,0.542651,0.568440,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0_d0p5_loss0p3,baseline_graph_slam,1.000000,0.000000,0.500000,0.300000,theta_std,0.056504,0.003642,0.053312,0.059697,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0_d2_loss0p1,baseline_graph_slam,1.000000,0.000000,2.000000,0.100000,pose_rmse_m,0.828538,0.015076,0.815324,0.841753,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0_d2_loss0p1,baseline_graph_slam,1.000000,0.000000,2.000000,0.100000,map_alignment_rmse_m,0.563085,0.010877,0.553551,0.572619,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0_d2_loss0p1,baseline_graph_slam,1.000000,0.000000,2.000000,0.100000,fusion_time_s,1.692044,0.018816,1.675551,1.708537,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0_d2_loss0p1,baseline_graph_slam,1.000000,0.000000,2.000000,0.100000,theta_mean,0.544039,0.021131,0.525517,0.562561,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0_d2_loss0p1,baseline_graph_slam,1.000000,0.000000,2.000000,0.100000,theta_std,0.059584,0.004623,0.055532,0.063636,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0_d2_loss0p3,baseline_graph_slam,1.000000,0.000000,2.000000,0.300000,pose_rmse_m,0.987238,0.013114,0.975743,0.998733,5
springer_revision_full_20260530,baseline-graph-slam_p1_g0_d2_loss0p3,baseline_graph_slam,1.000000,0.000000,2.000000,0.300000,map_alignment_rmse_m,0.686463,0.013544,0.674591,0.698334,5
